id,created_at,updated_at,at_neutral_site,attendance,away_team_outcome,away_team_score,broadcast,clock,clock_secs,daytime,duration,ended_at,home_team_outcome,home_team_score,humidity,interval,interval_number,interval_type,label,name,on,period,period_label,score,score_differential,scoreline,slug,started_at,status,internet_coverage,satellite_coverage,television_coverage,temperature,temperature_unit,timestamp,title,weather_conditions,wind_direction,wind_speed,wind_speed_unit,home_team_id,away_team_id,winning_team_id,season_id,venue_id,home_team_slug,away_team_slug,winning_team_slug,date
c75eda6b-b4c9-44d0-b515-03ad167cd7e1,2017-08-17T10:03:12-04:00,2017-12-24T00:46:20-05:00,NA,17583,win,108,NBCS-CA and 698,00:00,0,FALSE,6720,2017-12-23T23:52:00-05:00,loss,99,NA,Regular Season,NA,regularseason,Spurs vs Kings,"Spurs vs Kings December 23, 2017 at 10:00pm","on December 23, 2017",4,Quarter,108-99,9,Spurs 108 - Kings 99,nba-2017-2018-sa-sac-2017-12-23-2200,2017-12-23T22:00:00-05:00,closed,NA,698,NBCS-CA,NA,NA,1514084400,Spurs vs Kings,NA,NA,NA,NA,1572a867-7efd-4338-9f64-b7b961676f37,ed803cc0-8e6e-4798-b5aa-9eecbc977801,ed803cc0-8e6e-4798-b5aa-9eecbc977801,755c60e7-4bd7-4939-b755-2c2c318ac1f0,93d1426b-a9bb-49ec-98fe-5cd2f3b22d36,nba-sac,nba-sa,nba-sa,2017-12-23
0c5010f6-8670-4349-bea9-de996dcb12fc,2017-08-17T10:03:12-04:00,2017-12-24T00:16:16-05:00,NA,18997,win,95,Sportsnet LA and 691,00:00,0,FALSE,7620,2017-12-23T20:37:00-08:00,loss,92,NA,Regular Season,NA,regularseason,Trail Blazers vs Lakers,"Trail Blazers vs Lakers December 23, 2017 at  6:30pm","on December 23, 2017",4,Quarter,95-92,3,Trail Blazers 95 - Lakers 92,nba-2017-2018-por-lal-2017-12-23-1830,2017-12-23T18:30:00-08:00,closed,NA,691,Sportsnet LA,NA,NA,1514082600,Trail Blazers vs Lakers,NA,NA,NA,NA,ed6fc9b7-bfa2-4f04-a78d-f1876b6b4823,181740b1-0645-421e-aa03-7b01268bd639,181740b1-0645-421e-aa03-7b01268bd639,755c60e7-4bd7-4939-b755-2c2c318ac1f0,093c73fa-ca95-4761-8047-5057a2e4ae9d,nba-lal,nba-por,nba-por,2017-12-23
aadfd545-a38c-4f43-af7c-f4ddce45b182,2017-08-17T10:03:12-04:00,2017-12-23T23:46:16-05:00,NA,16482,win,115,FS-AZ and 686,00:00,0,FALSE,8040,2017-12-23T21:14:00-07:00,loss,106,NA,Regular Season,NA,regularseason,Timberwolves vs Suns,"Timberwolves vs Suns December 23, 2017 at  7:00pm","on December 23, 2017",4,Quarter,115-106,9,Timberwolves 115 - Suns 106,nba-2017-2018-min-pho-2017-12-23-1900,2017-12-23T19:00:00-07:00,closed,NA,686,FS-AZ,NA,NA,1514080800,Timberwolves vs Suns,NA,NA,NA,NA,4163a809-e128-41eb-aae1-e5feb3bbd572,2a8639cf-f27b-49c9-ae4c-16f77c1a2567,2a8639cf-f27b-49c9-ae4c-16f77c1a2567,755c60e7-4bd7-4939-b755-2c2c318ac1f0,98ce32a6-fcb1-4566-b719-19495432c885,nba-pho,nba-min,nba-min,2017-12-23
fd4daaaf-c7d4-48b7-b0c3-bd5251a6336a,2017-08-17T10:03:12-04:00,2017-12-23T23:16:25-05:00,NA,19596,win,96,NBCS-BA and 696,00:00,0,FALSE,7380,2017-12-23T19:33:00-08:00,loss,81,NA,Regular Season,NA,regularseason,Nuggets vs Warriors,"Nuggets vs Warriors December 23, 2017 at  5:30pm","on December 23, 2017",4,Quarter,96-81,15,Nuggets 96 - Warriors 81,nba-2017-2018-den-gs-2017-12-23-1730,2017-12-23T17:30:00-08:00,closed,NA,696,NBCS-BA,NA,NA,1514079000,Nuggets vs Warriors,NA,NA,NA,NA,2a173568-fca6-4891-8c3b-3573547b0b6b,cb0629eb-a7ed-4775-8d2f-3f1929e82311,cb0629eb-a7ed-4775-8d2f-3f1929e82311,755c60e7-4bd7-4939-b755-2c2c318ac1f0,a4288a77-7c9e-4f7b-b472-ab894038d80c,nba-gs,nba-den,nba-den,2017-12-23
4778556a-e1bb-4f27-b91f-5dcdd7e98b0d,2017-08-17T10:03:12-04:00,2017-12-23T22:46:21-05:00,NA,19600,win,109,SUN and 653,00:00,0,FALSE,7380,2017-12-23T22:03:00-05:00,loss,94,NA,Regular Season,NA,regularseason,Pelicans vs Heat,"Pelicans vs Heat December 23, 2017 at  8:00pm","on December 23, 2017",4,Quarter,109-94,15,Pelicans 109 - Heat 94,nba-2017-2018-no-mia-2017-12-23-2000,2017-12-23T20:00:00-05:00,closed,NA,653,SUN,NA,NA,1514077200,Pelicans vs Heat,NA,NA,NA,NA,437c3537-8171-40c6-91ce-f690faf149f9,c29ace8e-5203-4891-b4e1-92f0a62bbced,c29ace8e-5203-4891-b4e1-92f0a62bbced,755c60e7-4bd7-4939-b755-2c2c318ac1f0,6b68dab1-4b8c-4af1-9ab8-1cc5d3cd4891,nba-mia,nba-no,nba-no,2017-12-23
921eb809-9d15-4ab8-a789-dadb1dc88622,2017-08-17T10:03:12-04:00,2017-12-23T22:46:16-05:00,NA,18306,win,103,Sportsnet RM and 683,00:00,0,FALSE,7440,2017-12-23T22:04:00-05:00,loss,89,NA,Regular Season,NA,regularseason,Thunder vs Jazz,"Thunder vs Jazz December 23, 2017 at  8:00pm","on December 23, 2017",4,Quarter,103-89,14,Thunder 103 - Jazz 89,nba-2017-2018-okc-uta-2017-12-23-2000,2017-12-23T20:00:00-05:00,closed,NA,683,Sportsnet RM,NA,NA,1514077200,Thunder vs Jazz,NA,NA,NA,NA,3d25723a-25c7-48b1-9c69-f92ff957a4c8,18e967b2-07e1-473c-8dda-bac32defc28e,18e967b2-07e1-473c-8dda-bac32defc28e,755c60e7-4bd7-4939-b755-2c2c318ac1f0,33f2a024-751e-4f96-bf03-a1cf79137c1d,nba-uta,nba-okc,nba-okc,2017-12-23
e6c15818-6fd6-4624-a7af-0041f5d785ac,2017-08-17T10:03:12-04:00,2017-12-23T23:01:17-05:00,NA,16844,loss,112,FS-TN and 646-2,00:00,0,FALSE,8100,2017-12-23T22:15:00-05:00,win,115,NA,Regular Season,NA,regularseason,Clippers vs Grizzlies,"Clippers vs Grizzlies December 23, 2017 at  8:00pm","on December 23, 2017",4,Quarter,112-115,3,Clippers 112 - Grizzlies 115,nba-2017-2018-lac-mem-2017-12-23-2000,2017-12-23T20:00:00-05:00,closed,NA,646-2,FS-TN,NA,NA,1514077200,Clippers vs Grizzlies,NA,NA,NA,NA,52b6ddeb-ef1e-4146-9170-595c083c35b0,5bf2300f-777b-4caa-9ef3-3fda11f17ad1,52b6ddeb-ef1e-4146-9170-595c083c35b0,755c60e7-4bd7-4939-b755-2c2c318ac1f0,35c673e0-6235-4636-85d1-907b3f040ae3,nba-mem,nba-lac,nba-mem,2017-12-23
4bbc549d-02a2-47b2-8709-da121fbe4e32,2017-08-17T10:03:11-04:00,2017-12-23T22:31:20-05:00,NA,13402,loss,107,FS-SE and 649,00:00,0,FALSE,7920,2017-12-23T21:42:00-05:00,win,112,NA,Regular Season,NA,regularseason,Mavericks vs Hawks,"Mavericks vs Hawks December 23, 2017 at  7:30pm","on December 23, 2017",4,Quarter,107-112,5,Mavericks 107 - Hawks 112,nba-2017-2018-dal-atl-2017-12-23-1930,2017-12-23T19:30:00-05:00,closed,NA,649,FS-SE,NA,NA,1514075400,Mavericks vs Hawks,NA,NA,NA,NA,20901970-53a0-417c-b5b4-832a74148af6,35ded680-b7b1-4cd9-a223-7bc4ab0b77ed,20901970-53a0-417c-b5b4-832a74148af6,755c60e7-4bd7-4939-b755-2c2c318ac1f0,8a526626-5c63-49d4-ada3-1493185822a0,nba-atl,nba-dal,nba-atl,2017-12-23
5a9c896a-e671-45f1-93aa-bb72bf5d1a4f,2017-08-17T10:03:12-04:00,2017-12-23T22:01:21-05:00,NA,18624,loss,92,NBCS-BOS and 630,00:00,0,FALSE,7320,2017-12-23T21:32:00-05:00,win,117,NA,Regular Season,NA,regularseason,Bulls vs Celtics,"Bulls vs Celtics December 23, 2017 at  7:30pm","on December 23, 2017",4,Quarter,92-117,25,Bulls 92 - Celtics 117,nba-2017-2018-chi-bos-2017-12-23-1930,2017-12-23T19:30:00-05:00,closed,NA,630,NBCS-BOS,NA,NA,1514075400,Bulls vs Celtics,NA,NA,NA,NA,1c65bbb6-bd10-4ef6-831a-89050d57fe16,7e670063-ef8d-4356-947b-786a802205bd,1c65bbb6-bd10-4ef6-831a-89050d57fe16,755c60e7-4bd7-4939-b755-2c2c318ac1f0,77d29fa4-0496-43cf-8566-2b0f4d3537c2,nba-bos,nba-chi,nba-bos,2017-12-23
8b93d8b9-59c3-4d54-b9ca-a1929199a345,2017-08-17T10:03:11-04:00,2017-12-23T21:46:15-05:00,NA,17218,loss,103,NBCS-DC+ and 642-1,00:00,0,FALSE,7680,2017-12-23T21:08:00-05:00,win,130,NA,Regular Season,NA,regularseason,Magic vs Wizards,"Magic vs Wizards December 23, 2017 at  7:00pm","on December 23, 2017",4,Quarter,103-130,27,Magic 103 - Wizards 130,nba-2017-2018-orl-was-2017-12-23-1900,2017-12-23T19:00:00-05:00,closed,NA,642-1,NBCS-DC+,NA,NA,1514073600,Magic vs Wizards,NA,NA,NA,NA,f42aa2e5-5f90-4325-8c35-24c780c9756e,c7f2a75a-d6fc-4d6d-b75f-acbfb9a4aeed,f42aa2e5-5f90-4325-8c35-24c780c9756e,755c60e7-4bd7-4939-b755-2c2c318ac1f0,ee681676-26f1-4365-8ec3-217364d47ccd,nba-was,nba-orl,nba-was,2017-12-23
