id,created_at,updated_at,at_neutral_site,attendance,away_team_outcome,away_team_score,broadcast,clock,clock_secs,daytime,duration,ended_at,home_team_outcome,home_team_score,humidity,interval,interval_number,interval_type,label,name,on,period,period_label,score,score_differential,scoreline,slug,started_at,status,internet_coverage,satellite_coverage,television_coverage,temperature,temperature_unit,timestamp,title,weather_conditions,wind_direction,wind_speed,wind_speed_unit,home_team_id,away_team_id,winning_team_id,season_id,venue_id,home_team_slug,away_team_slug,winning_team_slug,date
36b24d4a-d6a4-4956-a221-5daea11687f3,2017-08-17T10:03:43-04:00,2017-10-16T06:10:07-04:00,NA,NA,undecided,0,PRIME and 693,0:00,0,FALSE,NA,NA,undecided,0,NA,Regular Season,NA,regularseason,Lakers vs Clippers,"Lakers vs Clippers April 11, 2018 at  7:30pm","on April 11, 2018",0,Quarter,0-0,0,Lakers 0 - Clippers 0,nba-2017-2018-lal-lac-2018-04-11-1930,2018-04-11T19:30:00-07:00,upcoming,NA,693,PRIME,NA,NA,1523500200,Lakers vs Clippers,NA,NA,NA,NA,5bf2300f-777b-4caa-9ef3-3fda11f17ad1,ed6fc9b7-bfa2-4f04-a78d-f1876b6b4823,NA,755c60e7-4bd7-4939-b755-2c2c318ac1f0,093c73fa-ca95-4761-8047-5057a2e4ae9d,nba-lac,nba-lal,NA,2018-04-11
49292905-53df-43d4-b953-b72685766095,2017-08-17T10:03:43-04:00,2017-10-16T06:10:07-04:00,NA,NA,undecided,0,NBCS-CA and 698,0:00,0,FALSE,NA,NA,undecided,0,NA,Regular Season,NA,regularseason,Rockets vs Kings,"Rockets vs Kings April 11, 2018 at 10:30pm","on April 11, 2018",0,Quarter,0-0,0,Rockets 0 - Kings 0,nba-2017-2018-hou-sac-2018-04-11-2230,2018-04-11T22:30:00-04:00,upcoming,NA,698,NBCS-CA,NA,NA,1523500200,Rockets vs Kings,NA,NA,NA,NA,1572a867-7efd-4338-9f64-b7b961676f37,52084e2c-8311-47d7-9157-12dadbfb0f41,NA,755c60e7-4bd7-4939-b755-2c2c318ac1f0,93d1426b-a9bb-49ec-98fe-5cd2f3b22d36,nba-sac,nba-hou,NA,2018-04-11
51701506-d515-4231-a957-e95991af3b00,2017-08-17T10:03:43-04:00,2017-10-16T06:10:07-04:00,NA,NA,undecided,0,"ESPN, 206, and WatchESPN",0:00,0,FALSE,NA,NA,undecided,0,NA,Regular Season,NA,regularseason,Jazz vs Trail Blazers,"Jazz vs Trail Blazers April 11, 2018 at  7:30pm","on April 11, 2018",0,Quarter,0-0,0,Jazz 0 - Trail Blazers 0,nba-2017-2018-uta-por-2018-04-11-1930,2018-04-11T19:30:00-07:00,upcoming,WatchESPN,206,ESPN,NA,NA,1523500200,Jazz vs Trail Blazers,NA,NA,NA,NA,181740b1-0645-421e-aa03-7b01268bd639,3d25723a-25c7-48b1-9c69-f92ff957a4c8,NA,755c60e7-4bd7-4939-b755-2c2c318ac1f0,40f7a71f-aa9f-4cb8-bb77-6d3e9dcc341d,nba-por,nba-uta,NA,2018-04-11
0a8838f3-2983-4173-8cdd-15249af15d64,2017-08-17T10:03:43-04:00,2017-10-16T06:10:07-04:00,NA,NA,undecided,0,NBCS-BOS and 630,0:00,0,FALSE,NA,NA,undecided,0,NA,Regular Season,NA,regularseason,Nets vs Celtics,"Nets vs Celtics April 11, 2018 at  8:00pm","on April 11, 2018",0,Quarter,0-0,0,Nets 0 - Celtics 0,nba-2017-2018-bk-bos-2018-04-11-2000,2018-04-11T20:00:00-04:00,upcoming,NA,630,NBCS-BOS,NA,NA,1523491200,Nets vs Celtics,NA,NA,NA,NA,1c65bbb6-bd10-4ef6-831a-89050d57fe16,84eb19ca-1e66-416f-9e00-90b20fe4bb5e,NA,755c60e7-4bd7-4939-b755-2c2c318ac1f0,77d29fa4-0496-43cf-8566-2b0f4d3537c2,nba-bos,nba-bk,NA,2018-04-11
207d283d-4518-40be-a387-0da6f314f7f5,2017-08-17T10:03:43-04:00,2017-10-16T06:10:07-04:00,NA,NA,undecided,0,"ESPN, 206, and WatchESPN",0:00,0,FALSE,NA,NA,undecided,0,NA,Regular Season,NA,regularseason,Bucks vs 76ers,"Bucks vs 76ers April 11, 2018 at  8:00pm","on April 11, 2018",0,Quarter,0-0,0,Bucks 0 - 76ers 0,nba-2017-2018-mil-phi-2018-04-11-2000,2018-04-11T20:00:00-04:00,upcoming,WatchESPN,206,ESPN,NA,NA,1523491200,Bucks vs 76ers,NA,NA,NA,NA,3d81c773-7502-4799-a2a4-61d0669207e4,1bc89428-fb96-49cb-aae0-f6bf07a482a1,NA,755c60e7-4bd7-4939-b755-2c2c318ac1f0,45212a60-6e60-47a4-ae7a-603a87ea734a,nba-phi,nba-mil,NA,2018-04-11
3daf86bb-1dd6-46a5-87a3-d8201fff4329,2017-08-17T10:03:43-04:00,2017-10-16T06:10:07-04:00,NA,NA,undecided,0,NBCS-CHI and 665,0:00,0,FALSE,NA,NA,undecided,0,NA,Regular Season,NA,regularseason,Pistons vs Bulls,"Pistons vs Bulls April 11, 2018 at  8:00pm","on April 11, 2018",0,Quarter,0-0,0,Pistons 0 - Bulls 0,nba-2017-2018-det-chi-2018-04-11-2000,2018-04-11T20:00:00-04:00,upcoming,NA,665,NBCS-CHI,NA,NA,1523491200,Pistons vs Bulls,NA,NA,NA,NA,7e670063-ef8d-4356-947b-786a802205bd,a93b4a16-d3ac-4dd0-9f3f-e556626eb498,NA,755c60e7-4bd7-4939-b755-2c2c318ac1f0,7afe7d86-2192-422a-b06b-6caf5887956f,nba-chi,nba-det,NA,2018-04-11
7e1c60bc-1760-4d4b-9235-93421c578c1f,2017-08-17T10:03:43-04:00,2017-10-16T06:10:07-04:00,NA,NA,undecided,0,FS-FL and 654,0:00,0,FALSE,NA,NA,undecided,0,NA,Regular Season,NA,regularseason,Wizards vs Magic,"Wizards vs Magic April 11, 2018 at  8:00pm","on April 11, 2018",0,Quarter,0-0,0,Wizards 0 - Magic 0,nba-2017-2018-was-orl-2018-04-11-2000,2018-04-11T20:00:00-04:00,upcoming,NA,654,FS-FL,NA,NA,1523491200,Wizards vs Magic,NA,NA,NA,NA,c7f2a75a-d6fc-4d6d-b75f-acbfb9a4aeed,f42aa2e5-5f90-4325-8c35-24c780c9756e,NA,755c60e7-4bd7-4939-b755-2c2c318ac1f0,16de67d0-3946-40a4-890f-31bbf17a1ba7,nba-orl,nba-was,NA,2018-04-11
846b5a3c-cde7-40e3-90d1-b605f592f422,2017-08-17T10:03:43-04:00,2017-10-16T06:10:07-04:00,NA,NA,undecided,0,FS-OH and 660,0:00,0,FALSE,NA,NA,undecided,0,NA,Regular Season,NA,regularseason,Knicks vs Cavaliers,"Knicks vs Cavaliers April 11, 2018 at  8:00pm","on April 11, 2018",0,Quarter,0-0,0,Knicks 0 - Cavaliers 0,nba-2017-2018-ny-cle-2018-04-11-2000,2018-04-11T20:00:00-04:00,upcoming,NA,660,FS-OH,NA,NA,1523491200,Knicks vs Cavaliers,NA,NA,NA,NA,a9abb922-3a47-4d37-9250-2e5224a2b58a,d0e50d36-35cc-454b-a2b3-d56b2cbc029d,NA,755c60e7-4bd7-4939-b755-2c2c318ac1f0,5cb4cd32-07d3-4b43-84a8-649104164bc5,nba-cle,nba-ny,NA,2018-04-11
9e52ff48-ab80-4aaf-85c5-9286274a49c8,2017-08-17T10:03:43-04:00,2017-11-28T04:14:39-05:00,NA,NA,undecided,0,FS-OK and 675,0:00,0,FALSE,NA,NA,undecided,0,NA,Regular Season,NA,regularseason,Grizzlies vs Thunder,"Grizzlies vs Thunder April 11, 2018 at  7:00pm","on April 11, 2018",0,Quarter,0-0,0,Grizzlies 0 - Thunder 0,nba-2017-2018-mem-okc-2018-04-11-1900,2018-04-11T19:00:00-05:00,upcoming,NA,675,FS-OK,NA,NA,1523491200,Grizzlies vs Thunder,NA,NA,NA,NA,18e967b2-07e1-473c-8dda-bac32defc28e,52b6ddeb-ef1e-4146-9170-595c083c35b0,NA,755c60e7-4bd7-4939-b755-2c2c318ac1f0,4e8a76f6-618f-4a8d-a13d-187fe220eb11,nba-okc,nba-mem,NA,2018-04-11
cddad970-3194-4bb2-be80-2eba03395727,2017-08-17T10:03:43-04:00,2017-10-16T06:10:07-04:00,NA,NA,undecided,0,FS-N and 668,0:00,0,FALSE,NA,NA,undecided,0,NA,Regular Season,NA,regularseason,Nuggets vs Timberwolves,"Nuggets vs Timberwolves April 11, 2018 at  7:00pm","on April 11, 2018",0,Quarter,0-0,0,Nuggets 0 - Timberwolves 0,nba-2017-2018-den-min-2018-04-11-1900,2018-04-11T19:00:00-05:00,upcoming,NA,668,FS-N,NA,NA,1523491200,Nuggets vs Timberwolves,NA,NA,NA,NA,2a8639cf-f27b-49c9-ae4c-16f77c1a2567,cb0629eb-a7ed-4775-8d2f-3f1929e82311,NA,755c60e7-4bd7-4939-b755-2c2c318ac1f0,450d91b3-e1aa-40c8-8255-769f621abc34,nba-min,nba-den,NA,2018-04-11
